drug_a,drug_b,efek_interaksi,mekanisme_interaksi_farmakokinetik,mekanisme_interaksi_farmakodinamik,manajemen_interaksi
captopril,insulin lispro protamine,Moderate,Tidak ada,Efek sinergis ? peningkatan risiko hipoglikemia karena potensi kerja insulin dan efek ACEI pada sensitivitas insulin.,"Pemantauan glukosa darah secara berkala, sesuaikan dosis insulin protamine bila ada gejala hipoglikemia."
captopril,insulin regular,Moderate,Tidak ada,"Efek aditif ? ACEI meningkatkan sensitivitas jaringan terhadap insulin, menurunkan ambang glukosa.","Pemantauan glukosa darah sebelum makan, perhatikan fluktuasi glikemik. Informasikan pasien terkait gejala hipoglikemia."
captopril,insulin zinc,Moderate,Tidak ada,Efek sinergis ? kombinasi memperkuat aksi insulin dan menurunkan kadar glukosa darah lebih signifikan.,"Monitoring glukosa rutin, terutama bila pasien juga menggunakan diuretik atau lansia. Edukasi pasien membawa gula sederhana."
captopril,insulin zinc extended,Moderate,Tidak ada,Efek farmakodinamik aditif: kombinasi dapat memperpanjang durasi hipoglikemia karena insulin long-acting.,"Sesuaikan jadwal dan dosis insulin extended. Pantau glukosa darah lebih intensif, edukasi pasien gejala dan penanganan hipoglikemia."
captopril,interferon alfa-2a,Moderate,Tidak ada,"Efek imunologis aditif ? peningkatan risiko granulositopenia pada pasien dengan cryoglobulinemia, kemungkinan terkait respons autoimun.",Lakukan pemantauan hematologi secara ketat. Waspadai tanda-tanda neutropenia. Hentikan salah satu obat jika terjadi penurunan signifikan jumlah granulosit. Edukasi pasien penting dilakukan.
captopril,interferon beta-1a,Moderate,Tidak ada,"Efek toksisitas hepatik aditif. Interferon dan ACE inhibitor (termasuk captopril) dapat meningkatkan risiko cedera hati (autoimmune hepatitis, gagal hati).","Lakukan pemantauan fungsi hati secara berkala (SGPT, SGOT). Jika SGPT >5x normal, kurangi atau hentikan dosis interferon. Edukasi pasien untuk segera melapor jika mengalami gejala hepatotoksisitas seperti mual, nyeri kuadran kanan atas, atau ikterus."
captopril,interferon beta-1b,Moderate,Tidak ada,"Efek sinergis terhadap hepatotoksisitas, terutama bila dikombinasikan dengan agen hepatotoksik lain.","Monitor LFT (liver function test) secara rutin. Hentikan terapi bila terjadi gejala toksisitas hati. Waspadai gejala seperti kelelahan ekstrem, urin gelap, dan mual hebat. Penggunaan bersama sebaiknya dihindari kecuali benar-benar dibutuhkan."
captopril,irbesartan,Major,Tidak ada,"Efek sinergis pada sistem renin-angiotensin ? meningkatkan risiko hiperkalemia, hipotensi berat, dan gagal ginjal, khususnya pada pasien dengan gangguan ginjal/DM.","Kombinasi harus dihindari kecuali benar-benar diperlukan. Pantau elektrolit (kalium), tekanan darah, dan fungsi ginjal secara ketat. Hindari suplementasi kalium. Berikan edukasi pada pasien mengenai tanda-tanda hiperkalemia dan gagal ginjal."
captopril,iron dextran,Major,Tidak ada,Potensiasi reaksi anafilaktoid ? Captopril dapat meningkatkan kadar bradikinin yang berperan dalam reaksi sistemik terhadap zat besi parenteral.,Pantau ketat pasien selama dan setelah pemberian zat besi parenteral. Lakukan uji sensitivitas awal (test dose). Siapkan peralatan resusitasi. Gunakan hanya jika pasien tidak merespons terapi besi oral. Pertimbangkan formulasi zat besi non-dextran bila memungkinkan.
captopril,iron sucrose,Moderate,Tidak ada,"Potensi reaksi sistemik meningkat (mual, muntah, hipotensi) akibat peningkatan aktivitas bradikinin yang tidak terdegradasi oleh ACE inhibitor saat pemberian besi parenteral.","Pemantauan ketat saat dan setelah pemberian besi parenteral. Waspadai reaksi anafilaktoid. Tidak diperlukan intervensi khusus, tetapi bila memungkinkan, hindari kombinasi atau gunakan formulasi besi non-dextran."
captopril,isocarboxazid,Moderate,Tidak ada,Efek aditif terhadap penurunan tekanan darah. MAOI meningkatkan akumulasi neurotransmitter palsu yang menghambat transmisi adrenergik ? menyebabkan hipotensi ortostatik.,"Hati-hati dalam 2 minggu pertama terapi kombinasi. Pantau tekanan darah, terutama saat perubahan posisi (duduk ? berdiri). Edukasi pasien untuk menghindari berdiri tiba-tiba dan segera melapor jika mengalami pusing, takikardia, atau sinkop."
captopril,isoniazid,Moderate,"INH dimetabolisme oleh N-acetyltransferase & CYP2E1. Inhibisi CYP oleh INH ? risiko peningkatan kadar hepatotoksik obat lain, termasuk ACE inhibitor.",Efek hepatotoksik aditif. INH menghasilkan metabolit toksik dan dapat memicu hepatitis autoimun.,"Pantau fungsi hati (AST, ALT) sebelum dan selama terapi. Hindari kombinasi jika memungkinkan, terutama pada pasien dengan risiko tinggi hepatotoksisitas (usia >35 tahun, wanita postpartum, alkoholik). Jika LFT >3?5x normal, pertimbangkan penghentian INH. Edukasi pasien tentang gejala hepatitis (malaise, mual, ikterus)."
captopril,isosorbide dinitrate,Moderate,Tidak ada,Efek sinergis vasodilatasi ? penurunan resistensi sistemik dan kerja jantung. Captopril mencegah toleransi nitrat.,"Umumnya digunakan secara klinis dengan keuntungan hemodinamik. Namun, monitor tekanan darah secara berkala. Jika pasien sebelumnya memakai nitrate dosis tinggi, pertimbangkan titrasi ulang saat memulai ACE inhibitor."
captopril,isosorbide mononitrate,Moderate,Tidak ada,"Sama seperti isosorbide dinitrate ? efek vasodilatasi sinergis, menurunkan preload dan afterload. Captopril menurunkan resistensi perifer.","Kombinasi biasanya aman dan bermanfaat dalam gagal jantung. Namun, tekanan darah harus dimonitor. Bila terjadi hipotensi signifikan, evaluasi dosis nitrate dan ACE inhibitor. Berikan edukasi pasien untuk melaporkan gejala pusing atau lemas."
captopril,isradipine,Minor,Tidak ada,Efek aditif penurunan tekanan darah karena kerja gabungan CCB (vasodilatasi) dan ACE inhibitor (penurunan resistensi vaskular sistemik).,"Monitor tekanan darah secara ketat, terutama dalam 1?3 minggu pertama. Edukasi pasien untuk mengenali gejala hipotensi seperti pusing dan lemas."
captopril,ketoconazole,Major,Tidak ada,Tidak ada. Efek interaksi lebih ke risiko hepatotoksisitas aditif akibat penggunaan dua agen yang berpotensi toksik terhadap hati.,"Hindari penggunaan bersamaan. Jika tidak bisa dihindari, lakukan pemantauan fungsi hati secara ketat (AST, ALT). Edukasi pasien melapor jika muncul gejala seperti mual, ikterus, nyeri kuadran kanan atas. Hentikan ketoconazole bila dicurigai hepatotoksisitas."
captopril,ketoprofen,Moderate,NSAID dapat menurunkan AUC ACE inhibitor (misalnya enalapril dan enalaprilat).,"Inhibisi sintesis prostaglandin oleh NSAID menyebabkan efek pressor tidak seimbang, berkurangnya efek antihipertensi ACEi, dan peningkatan risiko nefrotoksisitas.","Gunakan durasi singkat jika memungkinkan. Monitor tekanan darah dan fungsi ginjal (ureum, kreatinin) saat awal dan berkala. Hindari pada pasien usia lanjut, dehidrasi, atau gangguan ginjal. Gunakan dosis NSAID serendah mungkin."
captopril,ketorolac,Moderate,NSAID seperti ketorolac dapat menurunkan bioavailabilitas atau efek antihipertensi ACE inhibitor melalui efek farmakokinetik tidak langsung.,"Sama seperti ketoprofen, menghambat prostaglandin, meningkatkan tekanan darah dan risiko penurunan GFR ? potensi gagal ginjal akut.",Batasi penggunaan <5 hari. Hindari pada pasien lansia dan gangguan ginjal. Lakukan pemantauan ketat tekanan darah dan fungsi ginjal selama terapi bersama. Gunakan alternatif analgesik non-NSAID bila memungkinkan.
captopril,landiolol,Major,Tidak ada,"Efek aditif terhadap penurunan HR dan kontraktilitas. ACE inhibitor ? ? afterload; landiolol ? ?1-blokade ? risiko bradikardia, blok AV, dan hipotensi berat.","Hindari kombinasi bila tidak diperlukan. Bila digunakan bersama, titrasi landiolol perlahan dengan pemantauan ketat hemodinamik (HR, PR interval, tekanan darah). Hentikan salah satu jika muncul bradikardia atau blok jantung."
captopril,lanthanum carbonate,Moderate,"Potensi khelasi di saluran cerna yang dapat menurunkan bioavailabilitas Captopril. Meskipun studi in vitro menunjukkan tidak ada pembentukan kompleks tak larut, risiko teoretis tetap ada.",Tidak ada.,Berikan Captopril minimal 2 jam sebelum atau sesudah lanthanum carbonate untuk meminimalkan interaksi. Perhatikan jika ada penurunan efek antihipertensi. Edukasi pasien terkait jadwal minum obat.
captopril,leflunomide,Major,"Tidak ada. Namun, risiko hepatotoksisitas meningkat bila dikombinasikan dengan agen lain yang bersifat hepatotoksik, termasuk ACE inhibitor.",Tidak ada. Risiko kerusakan hati meningkat melalui efek aditif terhadap hepatosit.,"Hindari penggunaan bersama jika memungkinkan. Bila harus digunakan, lakukan pemantauan fungsi hati (ALT, AST, bilirubin) sebelum dan selama terapi (setiap bulan 6 bulan pertama, lalu setiap 6?8 minggu). Lakukan washout dengan kolestiramin jika ALT >3? ULN. Jangan digunakan bila pasien memiliki penyakit hati aktif. Edukasi pasien terhadap gejala hepatotoksisitas."
captopril,levamlodipine,Minor,Tidak ada.,Efek aditif terhadap penurunan tekanan darah akibat kombinasi ACE inhibitor dan CCB.,Pantau tekanan darah ketat terutama pada awal terapi (1?3 minggu). Edukasi pasien untuk mengenali gejala hipotensi seperti pusing atau lemas. Umumnya aman bila digunakan bersamaan dengan penyesuaian dosis.
captopril,levodopa,Moderate,Tidak ada.,"Efek aditif terhadap hipotensi dan efek depresan SSP. Kombinasi dapat meningkatkan risiko hipotensi postural, pusing, serta gangguan kognitif.","Monitor tekanan darah dan efek SSP (sedasi, koordinasi) terutama awal terapi. Sesuaikan dosis bila perlu. Edukasi pasien untuk tidak mengemudi atau melakukan aktivitas berisiko tinggi sebelum mengetahui respon terhadap kombinasi ini. Hati-hati pada pasien lansia atau dengan riwayat jatuh."
captopril,levoketoconazole,Major,Tidak ada.,Risiko hepatotoksisitas aditif. Levoketoconazole memiliki profil hepatotoksik signifikan; efeknya dapat diperparah oleh agen hepatotoksik lain seperti ACE inhibitor.,"Hindari kombinasi bila memungkinkan. Lakukan tes fungsi hati (ALT, AST) sebelum dan selama terapi. Hentikan jika ada tanda-tanda hepatotoksisitas. Edukasi pasien mengenali gejala (mual, ikterus, RUQ pain, urin gelap, dsb). Refer ke panduan washout jika terjadi hepatotoksisitas signifikan."
captopril,licorice,Moderate,Tidak ada.,"Glycyrrhetinic acid dari licorice menimbulkan efek seperti mineralokortikoid (retensi natrium, hipokalemia), antagonis terhadap efek hipotensi ACE inhibitor.","Hindari atau batasi konsumsi licorice. Edukasi pasien mengenai potensi efek samping seperti hipertensi, edema, hipokalemia. Perhatikan penggunaan kronik licorice dalam makanan/minuman."
captopril,linagliptin,Moderate,Tidak ada.,Potensi peningkatan risiko angioedema (efek aditif). ACE inhibitor juga dapat meningkatkan sensitivitas insulin ? risiko hipoglikemia.,"Pantau tanda angioedema. Pantau glukosa darah terutama awal terapi, usia lanjut, atau gangguan ginjal. Edukasi pasien mengenai gejala hipoglikemia dan angioedema."
captopril,linezolid,Moderate,Tidak ada.,Linezolid adalah MAOI ? dapat memperkuat efek hipotensi dari ACE inhibitor melalui blokade neurotransmiter simpatik.,Pantau tekanan darah selama terapi. Edukasi pasien untuk bangun perlahan dari posisi duduk/tidur. Waspadai gejala ortostasis. Hindari penggunaan bersamaan bila memungkinkan.
captopril,lithium,Major,Penurunan klirens lithium akibat penurunan perfusi ginjal dan efek natriuresis ACE inhibitor.,Tidak ada.,"Monitor kadar serum lithium dan fungsi ginjal secara berkala. Hindari kombinasi bila memungkinkan. Pertimbangkan penyesuaian dosis lithium. Waspadai tanda-tanda toksisitas lithium (tremor, mual, ataksia, kebingungan)."
captopril,lofexidine,Moderate,Tidak ada.,Efek aditif terhadap hipotensi dan bradikardia. Lofexidine sendiri menurunkan tekanan darah dan denyut jantung.,"Hindari penggunaan bersamaan bila memungkinkan. Jika digunakan, pasien harus mampu memantau tekanan darah dan denyut jantung secara mandiri. Edukasi untuk hidrasi dan bangun perlahan. Hubungi tenaga kesehatan bila hipotensi atau bradikardia terjadi."
captopril,lomitapide,Major,Tidak ada.,Risiko hepatotoksisitas aditif. Lomitapide dapat menyebabkan steatosis hepatik dan peningkatan transaminase. ACE inhibitor juga berpotensi hepatotoksik.,"Gunakan dengan hati-hati. Monitor ALT, AST, bilirubin, dan fungsi hati sebelum dan selama terapi. Hindari alkohol (>1 minuman/hari). Edukasi pasien tentang gejala hepatotoksisitas."
captopril,lorazepam,Moderate,Tidak ada.,Efek aditif hipotensi dan ortostasis melalui depresan SSP dan vasodilatasi.,"Pantau tekanan darah dan kesadaran. Hindari bangun tiba-tiba. Edukasi pasien tentang risiko pusing, sinkop, dan hindari mengoperasikan mesin berat."
captopril,losartan,Major,Tidak ada.,"Efek aditif terhadap sistem renin-angiotensin ? risiko hiperpotasemia, hipotensi berat, dan gagal ginjal.","Hindari kombinasi, terutama pada pasien dengan nefropati diabetik dan gangguan ginjal. Jika digunakan, pantau kalium, tekanan darah, dan fungsi ginjal secara ketat."
captopril,loxapine,Moderate,Tidak ada.,Efek aditif hipotensi akibat blokade reseptor alfa-1 adrenergik oleh loxapine.,"Gunakan dengan hati-hati. Awali dengan dosis rendah dan titrasi lambat. Pantau tekanan darah, terutama pada lansia. Edukasi pasien tentang ortostasis."
captopril,lumateperone,Moderate,Tidak ada.,Sama seperti loxapine. Efek aditif hipotensi melalui blokade alfa-1 adrenergik.,Perhatikan saat inisiasi terapi. Gunakan dosis awal rendah dan evaluasi respon klinis. Edukasi pasien untuk menghindari perubahan posisi mendadak.
captopril,lurasidone,Moderate,Tidak ada.,"Lurasidone memiliki afinitas tinggi terhadap reseptor alfa-1 adrenergik, menyebabkan vasodilatasi dan meningkatkan risiko hipotensi ortostatik saat digunakan bersama antihipertensi.","Monitor tekanan darah, terutama saat awal terapi. Pertimbangkan penggunaan agen dengan afinitas alfa-1 lebih rendah. Edukasi pasien untuk menghindari perubahan posisi tubuh secara tiba-tiba."
captopril,lvp solution with potassium,Major,Captopril menurunkan sekresi aldosteron ? retensi kalium. Kombinasi dengan suplemen K? meningkatkan risiko hiperkalemia.,Tidak ada.,"Hindari kombinasi kecuali benar-benar diperlukan. Monitor serum kalium dan fungsi ginjal sebelum dan selama terapi. Waspadai gejala hiperkalemia (lemah, aritmia, kesemutan)."
captopril,magaldrate,Minor,Magaldrate dapat meningkatkan pH lambung dan memperlambat pengosongan lambung ? menurunkan bioavailabilitas captopril (? Cmax & AUC).,Tidak ada.,Pisahkan waktu pemberian captopril dan antasida minimal 1?2 jam. Tidak diperlukan perubahan dosis bila tidak ada gejala klinis signifikan.
captopril,magnesium karbonat,Minor,Sama seperti magaldrate: ? absorpsi captopril melalui peningkatan pH lambung dan perlambatan pengosongan lambung.,Tidak ada.,Anjurkan pasien untuk memberi jeda 1?2 jam antara konsumsi captopril dan magnesium karbonat. Monitor tekanan darah bila diperlukan.
captopril,magnesium hidroksida,Minor,Sama seperti di atas: ? bioavailabilitas captopril hingga 50%.,Tidak ada.,Disarankan untuk memisahkan waktu konsumsi captopril dan magnesium hidroksida selama 1?2 jam.
captopril,magnesium oksida,Minor,Meningkatkan pH lambung dan memperlambat pengosongan lambung ? menurunkan absorpsi captopril (?Cmax dan AUC hingga 50%).,Tidak ada.,Anjurkan pasien untuk memberi jeda 1?2 jam antara konsumsi captopril dan magnesium oksida.
captopril,magnesium salisilat,Moderate,NSAID dapat menurunkan bioavailabilitas ACE inhibitor (dalam beberapa kasus).,"NSAID menghambat sintesis prostaglandin ? menurunkan efek antihipertensi, serta meningkatkan risiko gagal ginjal.","Monitor tekanan darah dan fungsi ginjal secara berkala. Hindari penggunaan jangka panjang NSAID, terutama pada pasien usia lanjut atau dengan gangguan ginjal."
captopril,mannitol,Moderate,Tidak ada.,Efek aditif terhadap penurunan tekanan darah dan risiko hipovolemia. ACEI juga dapat menurunkan efek diuresis natrium dari diuretik.,"Monitor tekanan darah, elektrolit, dan fungsi ginjal. Pertimbangkan titrasi lambat ACEI dan pantau pasien saat inisiasi terapi."
captopril,maprotiline,Moderate,Tidak ada.,Efek aditif hipotensi akibat aktivitas blokade alfa-1 adrenergik maprotiline.,Lakukan monitoring tekanan darah. Anjurkan pasien untuk bangun secara perlahan dari posisi duduk/tidur. Hindari alkohol.
captopril,maraviroc,Moderate,Tidak ada.,"Efek sinergis dalam menurunkan tekanan darah, risiko hipotensi postural.","Monitor tekanan darah, terutama pada pasien rawat jalan. Edukasi pasien untuk mencegah hipotensi ortostatik (mis. bangun perlahan)."
captopril,meclofenamate,Moderate,"Beberapa NSAID dapat menurunkan AUC ACE inhibitor, walaupun tidak disebutkan langsung pada meclofenamate.",NSAID menghambat prostaglandin ? mengurangi efek antihipertensi; dapat menyebabkan retensi cairan dan menurunkan perfusi ginjal.,"Monitor tekanan darah dan fungsi ginjal, terutama pada lansia atau pasien dengan dehidrasi/hipovolemia. Gunakan NSAID jangka pendek bila memungkinkan."
captopril,mefenamic acid,Moderate,Beberapa NSAID dilaporkan menurunkan bioavailabilitas ACE inhibitor (seperti enalapril).,NSAID menghambat sintesis prostaglandin ? menurunkan efek antihipertensi; risiko kerusakan ginjal meningkat.,"Monitor tekanan darah dan fungsi ginjal secara berkala, hindari kombinasi jangka panjang jika tidak diperlukan."
captopril,meloxicam,Moderate,Potensi penurunan AUC ACEI oleh beberapa NSAID seperti oxaprozin; tidak disebutkan langsung untuk meloxicam.,Efek vasokonstriksi yang tidak terkendali karena penurunan prostaglandin ? berisiko hipertensi dan gagal ginjal.,"Pantau tekanan darah dan fungsi ginjal secara berkala. Hindari NSAID jangka panjang, kecuali diperlukan dan dalam pengawasan ketat."
captopril,meperidine,Moderate,Tidak ada.,Efek hipotensi aditif karena keduanya dapat menyebabkan vasodilatasi.,Monitor tekanan darah. Edukasi pasien untuk bangun perlahan. Hindari alkohol.
captopril,meprobamate,Moderate,Tidak ada.,Efek hipotensi aditif melalui depresan SSP dan aktivitas relaksan otot.,Monitor tekanan darah dan efek CNS. Hindari aktivitas berbahaya sampai efek obat dipahami.
captopril,mesoridazine,Moderate,Tidak ada,Aktivitas antagonis alfa-1 adrenergik menyebabkan efek hipotensi aditif dengan ACE inhibitor.,"Pantau tekanan darah secara ketat, mulai dengan dosis rendah pada pasien lanjut usia, edukasi pasien untuk menghindari perubahan posisi mendadak."
captopril,metformin,Moderate,Tidak ada,Potensiasi efek hipoglikemik metformin; mekanisme belum diketahui.,"Monitor kadar glukosa darah secara ketat, terutama pada lansia/penyakit ginjal. Sesuaikan dosis jika perlu. Edukasi gejala hipoglikemia."
captopril,methadone,Moderate,Tidak ada,Efek hipotensi aditif karena efek depresan SSP dan vasodilatasi dari keduanya.,"Monitor tekanan darah, anjurkan posisi bangun perlahan, hindari alkohol. Hindari aktivitas berbahaya hingga respons pasien diketahui."
captopril,methazolamide,Moderate,Tidak ada,Efek aditif pada penurunan tekanan darah dan volume intravaskular; risiko hipotensi dan gagal ginjal.,"Pantau tekanan darah, diuresis, elektrolit, dan fungsi ginjal. Mulai ACE inhibitor dengan dosis kecil, hentikan diuretik sementara jika perlu."
captopril,methdilazine,Moderate,Tidak ada,Aktivitas antagonis alfa-1 adrenergik dari phenothiazine ? efek hipotensi aditif dengan captopril.,"Lakukan pemantauan tekanan darah ketat. Gunakan dosis awal rendah, terutama pada lansia. Hindari perubahan posisi mendadak."
captopril,methocarbamol,Moderate,Tidak ada,Efek hipotensi aditif karena keduanya dapat menurunkan tekanan darah melalui mekanisme SSP dan vasodilatasi.,Monitor tekanan darah. Edukasi pasien agar tidak bangun mendadak. Hindari alkohol dan aktivitas berisiko tinggi sampai efek obat dipahami.
captopril,methotrexate,Moderate,"Potensi peningkatan risiko hepatotoksisitas jika digunakan bersama ACE inhibitor, meskipun mekanismenya belum sepenuhnya jelas.",Tidak ada,"Hindari kombinasi jika memungkinkan. Monitor fungsi hati secara berkala. Edukasi pasien gejala hepatotoksisitas (mual, ikterus, urine gelap)."
captopril,methotrimeprazine,Moderate,Tidak ada,Efek hipotensi aditif akibat antagonisme reseptor alfa-1 dari phenothiazine dan vasodilatasi oleh ACE inhibitor.,"Monitor tekanan darah, terutama pada awal terapi. Gunakan dosis rendah dan titrasi perlahan. Hindari perubahan posisi tubuh yang tiba-tiba."
captopril,methyclothiazide,Moderate,Tidak ada,Efek hipotensi dan hipovolemia aditif; risiko lebih tinggi bila pasien mengalami deplesi natrium atau dalam terapi diuretik jangka panjang.,"Monitor tekanan darah, elektrolit, dan fungsi ginjal. Awali ACE inhibitor dengan dosis rendah. Pertimbangkan penghentian sementara diuretik."
captopril,methylphenidate,Moderate,Tidak ada,Methylphenidate dapat meningkatkan tekanan darah dan menurunkan efektivitas antihipertensi seperti captopril.,Pantau tekanan darah. Sesuaikan dosis antihipertensi bila perlu. Perhatikan gejala stimulasi SSP seperti takikardia.
captopril,methylprednisolone,Moderate,Tidak ada,Kortikosteroid dapat menyebabkan retensi natrium dan cairan ? mengurangi efek antihipertensi captopril.,"Monitor tekanan darah, elektrolit, dan tanda-tanda retensi cairan. Pertimbangkan penyesuaian dosis antihipertensi."
captopril,metolazone,Moderate,Tidak ada,Efek hipotensi dan hipovolemia aditif. Risiko meningkat pada pasien dengan deplesi natrium atau terapi diuretik.,"Monitor tekanan darah, fungsi ginjal, dan elektrolit. Awali captopril dengan dosis rendah dan pertimbangkan modifikasi terapi diuretik sebelum inisiasi."
captopril,mibefradil,Minor,Tidak ada,Efek hipotensi aditif antara CCB dan ACE inhibitor.,Monitor tekanan darah terutama pada 1?3 minggu pertama terapi kombinasi.
captopril,midazolam,Moderate,Tidak ada,Efek sedatif dan vasodilator midazolam dapat memperkuat hipotensi akibat captopril.,Monitor tekanan darah dan gejala hipotensi. Edukasi pasien untuk tidak bangun mendadak. Hindari alkohol dan aktivitas berisiko.
captopril,mipomersen,Major,Potensi hepatotoksisitas aditif; keduanya berisiko menyebabkan gangguan fungsi hati.,Tidak ada,Hindari kombinasi jika memungkinkan. Lakukan pemeriksaan fungsi hati sebelum dan selama terapi. Batasi konsumsi alkohol. Edukasi pasien terkait gejala hepatotoksisitas.
captopril,mirtazapine,Moderate,Tidak ada,Efek hipotensi aditif akibat mirtazapine yang bersifat sedatif dan dapat menyebabkan vasodilatasi.,Monitor tekanan darah secara ketat terutama saat inisiasi. Edukasi pasien untuk bangun perlahan dan hindari aktivitas berisiko.
captopril,mixed grass pollens allergen extract,Major,Tidak ada,ACE inhibitor meningkatkan kadar bradikinin ? risiko anafilaksis dan angioedema meningkat selama imunoterapi.,"Hindari kombinasi jika memungkinkan. Jika tetap digunakan, lakukan pemantauan ketat. Beri edukasi gejala anafilaksis."
captopril,molindone,Moderate,Tidak ada,Efek aditif pada penurunan tekanan darah karena blokade reseptor alfa-1 oleh molindone.,"Awali dengan dosis rendah dan titrasi perlahan. Monitor tekanan darah dan gejala ortostasis, terutama pada lansia."
captopril,monomethyl fumarate,Moderate,"Potensi peningkatan risiko nefrotoksisitas, terutama jika digunakan bersama agen lain yang merusak ginjal.",Tidak ada,"Monitor fungsi ginjal (ureum, kreatinin, urin), terutama pada penggunaan jangka panjang. Hindari kombinasi bila tidak diperlukan."
captopril,morphine,Major,"Captopril (sebagai P-gp inhibitor lemah) dapat meningkatkan bioavailabilitas oral morfin, yang merupakan substrat P-gp.",Efek aditif terhadap hipotensi dan depresi SSP.,"Hindari kombinasi bila memungkinkan. Monitor sedasi, pernapasan, dan tekanan darah. Sesuaikan dosis morfin jika perlu."
captopril,morphine liposomal,Moderate,Tidak ada,Efek hipotensi aditif karena sifat depresan SSP dan vasodilatasi dari morfin.,Monitor tekanan darah secara ketat. Edukasi pasien untuk menghindari perubahan posisi tiba-tiba dan aktivitas berisiko. Hindari alkohol.
captopril,nabilone,Moderate,Tidak ada,Efek hipotensi aditif akibat aktivitas sentral dan perifer nabilone sebagai agonis kanabinoid.,Monitor gejala hipotensi. Beri edukasi mengenai risiko ortostasis. Hindari alkohol dan awasi aktivitas berbahaya.
captopril,nabumetone,Moderate,NSAID dapat menurunkan efek antihipertensi dan menyebabkan penurunan perfusi ginjal melalui inhibisi prostaglandin; dapat juga memengaruhi AUC ACE-I.,Tidak ada,Pantau tekanan darah dan fungsi ginjal secara berkala. Hindari penggunaan jangka panjang. Gunakan NSAID dosis rendah bila perlu.
captopril,nalbuphine,Moderate,Tidak ada,Efek hipotensi aditif akibat depresan SSP dan efek vasodilator dari nalbuphine.,"Monitor tekanan darah, hindari alkohol. Edukasi pasien agar tidak bangun mendadak dan tidak mengoperasikan alat berat."
captopril,naldemedine,Moderate,Inhibitor CYP3A4 dan/atau P-gp (termasuk ACE-I seperti captopril) dapat meningkatkan konsentrasi naldemedine secara signifikan.,Tidak ada,Waspadai gejala putus obat opioid. Monitor ketat bila digunakan bersama inhibitor CYP3A4 atau P-gp. Pertimbangkan penyesuaian dosis atau alternatif.
captopril,naltrexone,Moderate,"Potensi hepatotoksisitas naltrexone meningkat saat digunakan bersama obat lain yang juga hepatotoksik, termasuk ACE inhibitor seperti captopril.",Tidak ada,"Hindari kombinasi jika memungkinkan. Monitor fungsi hati secara berkala. Edukasi pasien untuk mengenali gejala hepatotoksisitas (mis. nyeri kuadran kanan atas, ikterus, urin gelap)."
captopril,naproxen,Moderate,NSAID seperti naproxen dapat menurunkan efek antihipertensi ACE inhibitor melalui inhibisi sintesis prostaglandin ginjal dan dapat menurunkan filtrasi glomerulus.,Tidak ada,Monitor tekanan darah dan fungsi ginjal secara berkala. Hindari NSAID jangka panjang jika memungkinkan. Gunakan dosis terendah efektif atau alternatif seperti parasetamol.
captopril,nateglinide,Moderate,Tidak ada,"ACE inhibitor dapat meningkatkan sensitivitas insulin, sehingga meningkatkan efek hipoglikemik nateglinide.","Monitor kadar glukosa darah, khususnya pada pasien usia lanjut atau gangguan ginjal. Edukasi pasien tentang tanda-tanda hipoglikemia dan tata laksananya. Penyesuaian dosis mungkin diperlukan."
captopril,nefazodone,Moderate,Tidak ada,Efek hipotensif aditif; nefazodone menurunkan tekanan darah melalui efek sentral dan perifer.,"Monitor tekanan darah, terutama saat inisiasi. Edukasi pasien untuk menghindari perubahan posisi tiba-tiba dan waspada terhadap gejala hipotensi."
captopril,nesiritide,Moderate,Tidak ada,Efek hipotensif aditif melalui vasodilatasi yang kuat dari nesiritide dan captopril.,Gunakan hanya di fasilitas dengan pemantauan tekanan darah ketat. Kurangi dosis atau hentikan bila terjadi hipotensi.
captopril,nicardipine,Minor,Tidak ada,Efek hipotensi aditif akibat vasodilatasi melalui kanal kalsium (nicardipine) dan inhibisi enzim ACE (captopril).,Monitor tekanan darah secara ketat terutama selama 1?3 minggu pertama. Kombinasi dapat digunakan dengan aman.
captopril,nifedipine,Minor,Tidak ada,Efek hipotensi aditif dari dua mekanisme kerja berbeda namun sinergis pada pembuluh darah.,"Lakukan monitoring tekanan darah, terutama saat inisiasi terapi kombinasi. Edukasi pasien untuk waspada terhadap gejala hipotensi."
captopril,nisoldipine,Minor,Tidak ada,Potensiasi efek vasodilatasi dan penurunan tekanan darah dari keduanya.,"Kombinasi diperbolehkan, namun tekanan darah harus dipantau selama fase awal terapi (1?3 minggu)."
captopril,nitroglycerin,Moderate,Tidak ada,Efek vasodilatasi sinergis. ACE inhibitor menurunkan resistensi vaskular sistemik dan memperkuat kerja nitrat. Captopril juga dapat mencegah toleransi terhadap nitrat.,"Kombinasi sering dimanfaatkan secara klinis. Namun, perhatikan anjuran produsen untuk menurunkan atau menghentikan dosis nitrat sebelum memulai ACE inhibitor. Monitor tekanan darah ketat."
captopril,nitroprusside,Minor,Tidak ada,Penurunan resistensi vaskular oleh captopril dapat memperkuat efek hipotensif nitroprusside. Mekanisme pastinya belum diketahui.,Perlu penyesuaian dosis nitroprusside ke level lebih rendah untuk mencegah hipotensi berlebihan. Pantau tekanan darah dan tanda-tanda toksisitas nitroprusside.
